web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638424027-1368,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Glendale/1517-E-Garfield-Ave-91205/unit-63/home/7176818,"1517 E Garfield Ave #63,","$589,000.00",2,2,"1,099",Time on Redfin6 days,1975,628 - Glendale-South of 134 Fwy,"$591,405.00","$3,021.00",2,Pool Features: Community Pool,High School District: Glendale Unified,Association Fee Frequency: Monthly,814,26,4,50 / 100,51 / 100,28 / 100,HOA Dues$362/month
1638423683-1236,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/6708-Hillpark-Dr-90068/unit-303/home/7114470,"6708 Hillpark Dr #303,","$689,000.00",2,2,"1,157",Time on Redfin22 days,1966,C03 - Sunset Strip - Hollywood Hills West,"$683,846.00","$3,714.00",2,Patio And Porch Features: Patio,High School District: Los Angeles Unified,Road Frontage Type: Access via City Streets,"1,871",50,4,19 / 100,38 / 100,14 / 100,HOA Dues$604/month
1638423307-1158,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Playa-Del-Rey/8025-Redlands-St-90293/unit-7/home/6627216,"8025 Redlands St #7,","$769,000.00",3,2.5,"1,382",Time on Redfin29 days,1970,Traditional,"$767,791.00","$3,833.00",Laundry in Unit,Roof: Composition,Amenities: Gated Parking,Special Zoning: Property Report,"3,024",85,8,59 / 100,37 / 100,55 / 100,HOA Dues$362/month
1638423900-1319,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Marina-Del-Rey/4707-La-Villa-Marina-90292/unit-F/home/6733018,"4707 La Villa Marina Unit F,","$1,349,000.00",3,2.5,"1,932",Time on Redfin13 days,1966,Contemporary,"$1,350,474.00","$6,530.00","Association Maintains Landscape, Association Pet Rules, Pool",# of Parking Spaces (Total): 2,Balcony: Patio,,"1,617",79,0,82 / 100,,82 / 100,HOA Dues$440/month
1638423355-1165,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2345-S-Bentley-Ave-90064/unit-201/home/6800862,"2345 S Bentley Ave #201,","$920,000.00",2,2,"1,591",Time on Redfin28 days,1990,Contemporary,"$913,930.00","$4,643.00","Laundry in Unit, Laundry Area","Amenities: Gated Community, Gated Parking, Association Maintains Landscape, Guest Parking, Controlled Access, Elevator","Lot Size (Sq. Ft.): 6,502",,"1,728",69,4,86 / 100,69 / 100,84 / 100,HOA Dues$490/month
1638424261-1457,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/West-Hollywood/1345-N-Hayworth-Ave-90046/unit-1/home/7117169,"1345 N Hayworth Ave #1,","$595,000.00",1,1,686,Time on Redfin5 hours,1929,Spanish,"$595,457.00","$3,181.00",3,# of Parking Spaces (Total): 1,Unit Floor In Building: 1,"Fees Include Electricity, Fees Include Gas, Fees Include Water and Sewer",156,13,1,92 / 100,57 / 100,61 / 100,HOA Dues$495/month
1638423692-1239,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/10490-Wilshire-Blvd-90024/unit-804/home/6806317,"10490 Wilshire #804,","$2,995,000.00",2,2.5,"2,776",Time on Redfin20 days,1989,Contemporary,"$2,920,799.00","$16,720.00","Controlled Access, Elevator, Fitness Center, Guest Parking, Pool, Rec Multipurpose Rm, Sauna, Spa, Tennis Courts, Valet Parking",# of Covered Parking Spaces: 2,Balcony: 2 Terraces,,344,13,1,50 / 100,68 / 100,43 / 100,"HOA Dues$3,200/month"
1638423181-1136,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2222-Avenue-of-the-Stars-90067/unit-2001/home/6809065,"2222 Avenue Of The Stars Unit 2001/2002,","$2,995,000.00",4,3.5,"3,263",Time on Redfin31 days,1964,Architectural,"$2,962,605.00","$17,927.00","Concierge, Controlled Access, Dock, Elevator, Fitness Center, Gated Community Guard, Valet Parking, Tennis Courts, Switchboard, Pool, Onsite Property Management, Guest Parking, Extra Storage",# of Parking Spaces (Total): 4,Community Pool,Athletic Court: Community,425,9,2,76 / 100,47 / 100,55 / 100,"HOA Dues$4,407/month"
1638424189-1431,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/1271-Granville-Ave-90025/unit-208/home/6758957,"1271 Granville Ave #208,","$985,000.00",2,2.5,"1,438",Time on Redfin15 hours,1981,Traditional,"$986,828.00","$5,017.00",2,"Patio Features: Balcony, Wrap Around Porch","Amenities: Controlled Access, Elevator, Exercise Room, Extra Storage, Sauna, Pool, Spa",,412,24,0,90 / 100,65 / 100,71 / 100,HOA Dues$570/month
1638424131-1408,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/West-Hollywood/1328-Havenhurst-Dr-90046/unit-209/home/7117452,"1328 Havenhurst Dr #209,","$739,000.00",2,2,980,Time on Redfin2 days,1950,Mid-Century,$754.00,"$3,758.00","Laundry in Unit, Laundry Inside",Other Structural Features: Balcony,# of Units in Complex (Total): 18,,674,56,2,91 / 100,60 / 100,58 / 100,HOA Dues$422/month
