web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638405816-202,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Valley-Village/5420-Morella-Ave-91607/home/5207311,"5420 Morella Ave,","$1,395,000.00",3,3.5,"1,860",Time on Redfin7 days,1940,Valley Village,"$1,377,538.00","$6,320.00",3,Assessor Parcel Number: 2348-007-036,Other Structures: None,Detached/No Common Walls,"1,556",29,10,77 / 100,58 / 100,82 / 100,
1638405654-178,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sylmar/14028-Badger-Ave-91342/home/5550240,"14028 Badger Ave,","$787,300.00",3,2,"1,571",Time on Redfin8 days,1986,"7,528 Sq. Ft.","$797,941.00","$3,567.00",Attached Garage,"Patio And Porch Features: Covered, Patio",High School District: Los Angeles Unified,Zoning: LARS,"1,197",38,1,11 / 100,17 / 100,4 / 100,
1638406459-330,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Beverly-Hills/9322-Hazen-Dr-90210/home/23101044,"9322 Hazen Dr,","$12,600,000.00",5,8,"7,120",Time on Redfin31 hours,2021,Modern,"$12,496,494.00","$57,084.00",7,Roof: Composition,"Directions: Located off of Coldwater Canyon Drive, south of Mulholland Drive.",Attached,780,74,1,1 / 100,0 / 100,3 / 100,
1638405741-191,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/North-Hollywood/5650-Ensign-Ave-91601/home/5145851,"5650 Ensign Ave,","$849,500.00",2,1,"1,177",Time on Redfin7 days,1926,North Hollywood,"$866,149.00","$3,849.00",Laundry in Unit,Assessor Parcel Number: 2337-025-007,Other Structures: None,,"2,484",133,5,83 / 100,63 / 100,75 / 100,
1638406632-398,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Burbank/1916-N-Valley-St-91505/home/5315847,"1916 N Valley St,","$849,948.00",2,1,998,Time on Redfin6 hours,1941,"5,989 Sq. Ft.","$865,349.00","$3,851.00",2,"Patio And Porch Features: Covered, Patio, Slab",High School District: Burbank Unified,Zoning: BUR1*,321,9,4,66 / 100,,71 / 100,
1638406517-353,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Commerce/6401-Ferguson-Dr-90022/home/7439228,"6401 Ferguson Dr,","$560,000.00",2,2,866,Time on Redfin27 hours,1948,"3,956 Sq. Ft.","$558,825.00","$2,537.00",2,Pool Features: None,High School District: Los Angeles Unified,,624,28,2,64 / 100,55 / 100,67 / 100,
1638406700-425,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1442-Sunset-Blvd-90026/home/7053280,"1442 W Sunset Blvd,","$1,499,000.00",4,2,"2,090",Time on Redfin49 minutes,1909,Silver Lake - Echo Park,"$1,494,763.00","$6,791.00",Other (See Remarks),Assessor Parcel Number: 5405-002-019,Other Structures: None,Faces North,125,5,0,92 / 100,65 / 100,48 / 100,
1638406572-375,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/915-W-21st-St-90007/home/6929759,"915 W 21st St,","$1,300,000.00",5,4,"2,236",Time on Redfin18 hours,1906,Downtown L.A.,$581.00,"$5,890.00",4,Roof: Composition,Sewer: Other,Detached/No Common Walls,139,2,1,85 / 100,83 / 100,88 / 100,
1638405777-196,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Van-Nuys/5732-Mammoth-Ave-91401/home/4712978,"5732 Mammoth Ave,","$1,480,000.00",3,3,"2,321",Time on Redfin7 days,1937,VG - Valley Glen,"$1,481,429.00","$6,705.00",Auto Driveway Gate,Foundation Details: Raised,High School District: Los Angeles Unified,Has Fence,387,69,7,64 / 100,49 / 100,80 / 100,
1638405151-96,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Canoga-Park/8455-Eton-Ave-91304/home/5871566,"8455 Eton Ave,","$995,000.00",4,4,"3,422",Time on Redfin14 days,1950,0.36 Acres,"$993,413.00","$4,508.00",Attached Garage,Patio And Porch Features: None,High School District: Los Angeles Unified,Has Fence,"2,300",46,9,47 / 100,50 / 100,62 / 100,
